"data","retweeted_authors","authors"
"2014-11-04",NA,"gabrielezagni"
"2014-11-04",NA,"giornaleprociv"
"2014-11-04",NA,"lesherbes"
"2014-11-04",NA,"TweetAndChips"
"2014-11-04",NA,"ArpaPiemonte"
"2014-11-04",NA,"putredine"
"2014-11-04",NA,"Turineis"
"2014-11-04",NA,"Turineis"
"2014-11-04",NA,"wwwmeteoit"
"2014-11-04",NA,"lesherbes"
"2014-11-04",NA,"Miti_Vigliero"
"2014-11-04",NA,"FabriBor"
"2014-11-04",NA,"tottissima"
"2014-11-04",NA,"PerezSilvina"
"2014-11-04",NA,"rataplangq"
"2014-11-04",NA,"Miti_Vigliero"
"2014-11-04",NA,"rataplangq"
"2014-11-04",NA,"inLanghe"
"2014-11-04",NA,"inLanghe"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"genesdegenes"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"Miti_Vigliero"
"2014-11-04",NA,"annabelladellac"
"2014-11-05",NA,"Miti_Vigliero"
"2014-11-05",NA,"ArpaPiemonte"
"2014-11-05",NA,"vittoriopasteris"
"2014-11-05",NA,"quotidianopiem"
"2014-11-05",NA,"krikali"
"2014-11-05",NA,"marisabravi"
"2014-11-05",NA,"rogerverbalkint"
"2014-11-05",NA,"rogerverbalkint"
"2014-11-05",NA,"ArpaPiemonte"
"2014-11-05",NA,"ArpaPiemonte"
"2014-11-05",NA,"ArpaPiemonte"
"2014-11-05",NA,"ArpaPiemonte"
"2014-11-05",NA,"ArpaPiemonte"
"2014-11-05",NA,"yes_political"
"2014-11-05",NA,"lucamarchesi9"
"2014-11-05",NA,"MisteriLago"
"2014-11-05",NA,"ERA_Arenzano"
"2014-11-05",NA,"magister_ed"
"2014-11-05",NA,"crpiemonte"
"2014-11-05",NA,"discoradioIT"
"2014-11-05",NA,"PaoloDrago1"
"2014-11-05",NA,"quotidianopiem"
"2014-11-05",NA,"ArpaPiemonte"
"2014-11-05",NA,"ArpaPiemonte"
"2014-11-05",NA,"Ossmeteobargone"
"2014-11-05",NA,"quotidianopiem"
"2014-11-05",NA,"Robbetta"
"2014-11-05",NA,"e_cce"
"2014-11-05",NA,"ArpaPiemonte"
"2014-11-05",NA,"ArpaPiemonte"
"2014-11-05",NA,"emabelli13"
"2014-11-05",NA,"emabelli13"
"2014-11-05",NA,"ScattiDLuce"
"2014-11-05",NA,"quotidianopiem"
"2014-11-05",NA,"federicoorta"
"2014-11-05",NA,"discoradioIT"
"2014-11-05",NA,"lachardouse"
"2014-11-05",NA,"crpiemonte"
"2014-11-05",NA,"fircbvercelli"
"2014-11-05",NA,"lesherbes"
"2014-11-05",NA,"Ossmeteobargone"
"2014-11-05",NA,"Ossmeteobargone"
"2014-11-05",NA,"Lequazione"
"2014-11-05",NA,"discoradioIT"
"2014-11-05",NA,"FabioMarelli"
"2014-11-05",NA,"rataplangq"
"2014-11-05",NA,"SOL_CRI_Giaveno"
"2014-11-05",NA,"CRIcuneo"
"2014-11-05",NA,"O_franci_O"
"2014-11-05",NA,"O_franci_O"
"2014-11-05",NA,"giornaleprociv"
"2014-11-05",NA,"ArpaPiemonte"
"2014-11-05",NA,"quotidianopiem"
"2014-11-05",NA,"quotidianopiem"
"2014-11-05",NA,"nastrorosa"
"2014-11-05",NA,"ArpaPiemonte"
"2014-11-05",NA,"ArpaPiemonte"
"2014-11-05",NA,"Aringoogle"
"2014-11-05",NA,"quotidianopiem"
"2014-11-05",NA,"quotidianopiem"
"2014-11-05",NA,"quotidianopiem"
"2014-11-05",NA,"ArpaPiemonte"
"2014-11-05",NA,"quotidianopiem"
"2014-11-05",NA,"GruppoPDPiem"
"2014-11-05",NA,"ArpaPiemonte"
"2014-11-05",NA,"diAlessandria"
"2014-11-05",NA,"quotidianopiem"
"2014-11-05",NA,"quotidianopiem"
"2014-11-05",NA,"quotidianopiem"
"2014-11-05",NA,"RadioBeckwith"
"2014-11-05",NA,"quotidianopiem"
"2014-11-05",NA,"nastrorosa"
"2014-11-05",NA,"RegolaSrl"
"2014-11-05",NA,"Beppeley"
"2014-11-05",NA,"quotidianopiem"
"2014-11-05",NA,"torinonightlife"
"2014-11-05",NA,"quotidianopiem"
"2014-11-05",NA,"vittoriopasteris"
"2014-11-05",NA,"Nuovi_Turismi"
"2014-11-05",NA,"LeoneEnrica"
"2014-11-05",NA,"crpiemonte"
"2014-11-05",NA,"riskiomap"
"2014-11-05",NA,"QuiNewsMassaCar"
"2014-11-05",NA,"CRIcuneo"
"2014-11-05",NA,"CRIcuneo"
"2014-11-05",NA,"Ehizedeffo"
"2014-11-05",NA,"SOL_CRI_Giaveno"
"2014-11-05",NA,"QCanavese"
"2014-11-05",NA,"serpilloc"
"2014-11-05",NA,"ilVergante"
"2014-11-05",NA,"FPiemontesaRos"
"2014-11-05",NA,"nastrorosa"
"2014-11-05",NA,"Miti_Vigliero"
"2014-11-05",NA,"FrncscPltn"
"2014-11-05",NA,"Miti_Vigliero"
"2014-11-05",NA,"FrncscPltn"
"2014-11-05",NA,"FeaCoal"
"2014-11-05",NA,"annmavi"
"2014-11-05",NA,"quotidianopiem"
"2014-11-05",NA,"quotidianopiem"
"2014-11-05",NA,"quotidianopiem"
"2014-11-05",NA,"nastrorosa"
"2014-11-05",NA,"albemaff"
"2014-11-05",NA,"nastrorosa"
"2014-11-05",NA,"Miti_Vigliero"
"2014-11-05",NA,"kiralyneSissi"
"2014-11-05",NA,"mmanca"
"2014-11-05",NA,"Turineis"
"2014-11-05",NA,"nastrorosa"
"2014-11-05",NA,"alfonso6403"
"2014-11-05",NA,"antonio_gemelli"
"2014-11-05",NA,"ArpaPiemonte"
"2014-11-05",NA,"CRIcuneo"
"2014-11-05",NA,"FabioMarelli"
"2014-11-05",NA,"FabioMarelli"
"2014-11-05",NA,"quotidianopiem"
"2014-11-05",NA,"QCanavese"
"2014-11-05",NA,"QCanavese"
"2014-11-05",NA,"CRIcuneo"
"2014-11-05",NA,"rosa36542769"
"2014-11-06",NA,"valenitna"
"2014-11-06",NA,"quotidianopiem"
"2014-11-06",NA,"nastrorosa"
"2014-11-06",NA,"CastellanetaTW"
"2014-11-06",NA,"CastellanetaTW"
"2014-11-06",NA,"giornaleprociv"
"2014-11-06",NA,"ERA_Arenzano"
"2014-11-06",NA,"ArpaPiemonte"
"2014-11-06",NA,"ilVergante"
"2014-11-06",NA,"DiVi84"
"2014-11-08",NA,"ilariolarosageo"
"2014-11-09",NA,"ArpaPiemonte"
"2014-11-09",NA,"lesherbes"
"2014-11-09",NA,"putredine"
"2014-11-09",NA,"ArpaPiemonte"
"2014-11-09",NA,"FabriBor"
"2014-11-09",NA,"Giancagt6"
"2014-11-09",NA,"ArpaPiemonte"
"2014-11-09",NA,"Stefano_Corda"
